tipo_celular,module_size,ATF7IP2_MM,ATF7IP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.199,83.0,71,6,8.45,2.37 (0.94-3.81),65,91.55,2.65 (2.22-3.08)
T cells 18,727.0,0.235,96.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,423.0,0.095,11.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.167,92.0,353,33,9.35,1.75 (1.37-2.12),320,90.65,4.19 (4.01-4.36)
GABA neurons expressing GLU receptors 22,203.0,0.258,48.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,300.0,0.22,76.0,16,2,12.5,2.98 (-1.31-7.27),14,87.5,1.93 (1.12-2.75)
da like neurons 11,215.0,0.186,50.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.194,46.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.133,44.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,577.0,0.079,44.0,83,4,4.82,2.10 (0.92-3.27),79,95.18,3.32 (2.86-3.79)
oligodendrocyte progenitor cells 12,3303.0,0.102,76.0,276,29,10.51,1.97 (1.61-2.33),247,89.49,3.79 (3.57-4.02)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,136.0,0.239,23.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1768.0,0.08,45.0,105,12,11.43,1.82 (0.95-2.69),93,88.57,3.41 (3.07-3.75)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.25,22.0,120,8,6.67,1.03 (0.56-1.51),112,93.33,3.84 (3.56-4.12)
astrocytes 4,514.0,0.144,23.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.145,87.0,290,4,1.38,1.61 (0.21-3.01),286,98.62,3.85 (3.62-4.08)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
