tipo_celular,module_size,MTCL1_MM,MTCL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.168,52.0,127,10,7.87,3.04 (1.65-4.43),117,92.13,3.94 (3.60-4.27)
GABA neurons expressing GLU receptors 22,714.0,0.234,75.0,17,1,5.88,2.06 (NA-NA),16,94.12,2.32 (1.70-2.94)
GLU like neurons 17,795.0,0.191,74.0,80,4,5.0,3.48 (2.40-4.56),76,95.0,5.85 (5.45-6.25)
da like neurons 11,209.0,0.387,91.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.141,52.0,125,1,0.8,4.56 (NA-NA),124,99.2,3.34 (3.02-3.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.077,49.0,276,16,5.8,2.14 (1.53-2.76),260,94.2,3.65 (3.43-3.87)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.283,32.0,120,11,9.17,1.50 (0.88-2.13),109,90.83,3.88 (3.59-4.16)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
