tipo_celular,module_size,RRBP1_MM,RRBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.193,34.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,393.0,0.212,77.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,322.0,0.113,17.0,58,3,5.17,2.95 (2.58-3.31),55,94.83,4.25 (3.81-4.70)
oligodendrocyte progenitor cells 7,4285.0,0.088,4.0,353,21,5.95,1.15 (0.83-1.47),332,94.05,4.12 (3.95-4.29)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.083,9.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,358.0,0.133,40.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2090.0,0.043,1.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,771.0,0.078,29.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.335,88.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,2107.0,0.084,19.0,358,20,5.59,1.09 (0.78-1.41),338,94.41,4.09 (3.91-4.27)
connective tissue cells 21,142.0,0.229,8.0,55,8,14.55,1.58 (0.70-2.45),47,85.45,4.15 (3.20-5.10)
astrocytes 15,1768.0,0.065,28.0,105,14,13.33,1.55 (1.03-2.06),91,86.67,3.49 (3.15-3.84)
oligodendrocytes 16,88.0,0.169,26.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,135.0,0.223,6.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.134,31.0,104,14,13.46,1.43 (0.91-1.95),90,86.54,3.11 (2.82-3.39)
oligodendrocytes 0,187.0,0.193,61.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,958.0,0.113,53.0,290,4,1.38,2.08 (1.31-2.85),286,98.62,3.84 (3.61-4.08)
oligodendrocytes 3,357.0,0.111,61.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,528.0,0.151,19.0,175,2,1.14,2.52 (0.11-4.92),173,98.86,4.41 (4.06-4.76)
