tipo_celular,module_size,KRCC1_MM,KRCC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.158,51.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610.0,0.201,81.0,98,1,1.02,1.95 (NA-NA),97,98.98,3.13 (2.81-3.45)
astrocytes 5,932.0,0.092,24.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.154,78.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.107,24.0,91,1,1.1,1.95 (NA-NA),90,98.9,4.58 (4.05-5.10)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.077,11.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,275.0,0.196,49.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.044,1.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,262.0,0.034,1.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,708.0,0.079,32.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,2107.0,0.089,22.0,358,2,0.56,1.25 (-0.12-2.62),356,99.44,3.88 (3.69-4.07)
connective tissue cells 21,95.0,0.271,43.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,1768.0,0.054,18.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,86.0,0.211,71.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,103.0,0.269,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.141,31.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.153,64.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615.0,0.137,82.0,161,2,1.24,1.25 (-0.12-2.62),159,98.76,3.30 (3.03-3.57)
oligodendrocytes 3,1003.0,0.069,20.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.135,44.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
