tipo_celular,module_size,TMEM117_MM,TMEM117_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.17,26.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,477.0,0.152,43.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.139,63.0,166,3,1.81,1.18 (-0.41-2.78),163,98.19,3.44 (3.19-3.69)
oligodendrocyte progenitor cells 7,4285.0,0.15,72.0,353,10,2.83,1.42 (0.30-2.54),343,97.17,3.98 (3.80-4.16)
GABA neurons expressing GLU receptors 22,714.0,0.3,90.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,795.0,0.276,91.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,265.0,0.34,94.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.178,82.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,279.0,0.365,87.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,1300.0,0.257,73.0,306,12,3.92,1.86 (1.28-2.43),294,96.08,5.29 (5.04-5.54)
astrocytes 8,260.0,0.185,80.0,4,1,25.0,0.26 (NA-NA),3,75.0,2.86 (1.07-4.66)
oligodendrocyte progenitor cells 12,218.0,0.25,50.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,1277.0,0.236,97.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,78.0,0.225,33.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.221,88.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,149.0,0.247,62.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,41.0,0.212,3.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,752.0,0.13,19.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186.0,0.158,71.0,300,1,0.33,3.70 (NA-NA),299,99.67,3.79 (3.59-4.00)
microglia 1,346.0,0.146,49.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,854.0,0.143,90.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,347.0,0.183,44.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
