tipo_celular,module_size,NUCB1_MM,NUCB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.295,84.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,477.0,0.13,28.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.134,39.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666.0,0.317,92.0,127,13,10.24,2.10 (1.43-2.77),114,89.76,4.03 (3.69-4.38)
GABA neurons expressing GLU receptors 22,192.0,0.16,66.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,489.0,0.155,59.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,1220.0,0.165,44.0,410,10,2.44,2.99 (1.88-4.10),400,97.56,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,357.0,0.206,67.0,237,3,1.27,3.75 (0.97-6.54),234,98.73,4.42 (4.19-4.65)
endothelial cells 9,916.0,0.167,37.0,302,7,2.32,2.70 (1.57-3.82),295,97.68,4.02 (3.79-4.25)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.299,66.0,455,20,4.4,1.86 (1.13-2.59),435,95.6,4.46 (4.28-4.64)
astrocytes 8,577.0,0.102,62.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,1049.0,0.149,75.0,235,10,4.26,3.29 (2.25-4.33),225,95.74,3.84 (3.60-4.08)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,136.0,0.304,58.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,418.0,0.07,39.0,54,4,7.41,3.83 (2.04-5.62),50,92.59,3.67 (3.21-4.12)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.109,28.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,327.0,0.37,67.0,120,21,17.5,1.81 (1.27-2.34),99,82.5,3.96 (3.67-4.25)
astrocytes 4,514.0,0.206,62.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.102,6.0,163,5,3.07,2.33 (2.07-2.59),158,96.93,3.75 (3.48-4.02)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
