tipo_celular,module_size,PLEKHA3_MM,PLEKHA3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.11,18.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,610.0,0.079,5.0,98,20,20.41,2.38 (1.47-3.30),78,79.59,3.33 (3.04-3.63)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.139,56.0,353,34,9.63,2.61 (1.99-3.23),319,90.37,4.07 (3.89-4.26)
GABA neurons expressing GLU receptors 22,823.0,0.127,19.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,132.0,0.179,33.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,77.0,0.154,35.0,8,3,37.5,2.67 (0.65-4.69),5,62.5,3.64 (3.52-3.76)
endothelial cells 9,916.0,0.144,30.0,302,7,2.32,2.00 (1.15-2.85),295,97.68,4.05 (3.82-4.27)
oligodendrocytes 20,348.0,0.041,13.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2402.0,0.388,78.0,455,28,6.15,2.55 (1.95-3.14),427,93.85,4.51 (4.32-4.69)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.049,15.0,235,4,1.7,2.71 (1.78-3.64),231,98.3,3.85 (3.61-4.08)
oligodendrocytes 10,806.0,0.158,50.0,261,14,5.36,3.02 (2.34-3.69),247,94.64,4.47 (4.22-4.72)
connective tissue cells 21,125.0,0.4,92.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.242,66.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.136,56.0,124,2,1.61,2.45 (-1.56-6.46),122,98.39,4.22 (3.83-4.62)
astrocytes microglia 23,110.0,0.3,35.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.119,59.0,238,9,3.78,2.80 (1.98-3.62),229,96.22,3.68 (3.45-3.90)
microglia 1,1615.0,0.096,29.0,161,17,10.56,1.53 (0.91-2.16),144,89.44,3.53 (3.27-3.79)
oligodendrocytes 3,743.0,0.072,37.0,76,1,1.32,3.60 (NA-NA),75,98.68,3.15 (2.75-3.55)
oligodendrocytes 2,1630.0,0.164,90.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
