tipo_celular,module_size,ERCC6_MM,ERCC6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.123,23.0,32,3,9.38,3.57 (2.56-4.58),29,90.62,3.74 (2.87-4.61)
T cells 18,282.0,0.165,40.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.133,79.0,136,12,8.82,2.86 (1.77-3.96),124,91.18,3.24 (2.97-3.52)
oligodendrocyte progenitor cells 7,4285.0,0.153,76.0,353,103,29.18,2.71 (2.44-2.98),250,70.82,4.54 (4.36-4.73)
GABA neurons expressing GLU receptors 22,823.0,0.181,51.0,23,4,17.39,2.38 (1.03-3.73),19,82.61,2.40 (1.55-3.24)
GLU like neurons 17,300.0,0.169,31.0,16,7,43.75,2.62 (1.82-3.42),9,56.25,1.54 (0.08-3.00)
da like neurons 11,172.0,0.237,52.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,271.0,0.045,6.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.171,76.0,125,7,5.6,3.78 (2.92-4.64),118,94.4,3.33 (2.99-3.67)
astrocytes 8,1266.0,0.036,4.0,66,31,46.97,2.75 (2.19-3.30),35,53.03,3.80 (3.23-4.37)
oligodendrocyte progenitor cells 12,3303.0,0.072,42.0,276,75,27.17,2.45 (2.23-2.67),201,72.83,4.13 (3.87-4.40)
oligodendrocytes 10,2107.0,0.089,23.0,358,111,31.01,2.62 (2.37-2.88),247,68.99,4.66 (4.47-4.85)
connective tissue cells 21,82.0,0.524,100.0,19,1,5.26,7.18 (NA-NA),18,94.74,7.70 (7.70-7.70)
astrocytes 15,1768.0,0.061,24.0,105,26,24.76,1.69 (1.39-1.98),79,75.24,3.74 (3.38-4.11)
oligodendrocytes 16,113.0,0.212,53.0,10,4,40.0,3.49 (1.58-5.40),6,60.0,2.57 (2.07-3.07)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,43.0,0.311,27.0,3,1,33.33,1.82 (NA-NA),2,66.67,NA
astrocytes 4,1807.0,0.173,93.0,104,35,33.65,2.02 (1.63-2.40),69,66.35,3.33 (3.00-3.65)
oligodendrocytes 0,2078.0,0.113,46.0,238,34,14.29,3.20 (2.77-3.64),204,85.71,3.72 (3.47-3.97)
microglia 1,1615.0,0.106,44.0,161,75,46.58,2.48 (2.18-2.78),86,53.42,4.25 (3.92-4.59)
oligodendrocytes 3,681.0,0.074,31.0,87,57,65.52,2.18 (1.95-2.41),30,34.48,3.47 (2.90-4.05)
oligodendrocytes 2,1630.0,0.127,22.0,154,8,5.19,3.75 (3.23-4.27),146,94.81,3.22 (2.94-3.49)
