tipo_celular,module_size,KLF3_MM,KLF3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.193,46.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,393.0,0.265,85.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.15,72.0,353,42,11.9,1.71 (1.46-1.96),311,88.1,4.29 (4.12-4.46)
GABA neurons expressing GLU receptors 22,599.0,0.109,6.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,153.0,0.104,14.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.124,20.0,120,2,1.67,2.88 (2.28-3.48),118,98.33,4.64 (4.32-4.96)
oligodendrocytes 20,348.0,0.256,85.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,36,13.04,1.82 (1.61-2.04),240,86.96,3.90 (3.67-4.12)
oligodendrocytes 10,2107.0,0.084,19.0,358,48,13.41,1.69 (1.46-1.92),310,86.59,4.34 (4.17-4.52)
connective tissue cells 21,136.0,0.252,32.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,116.0,0.247,83.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,127.0,0.312,50.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,1186.0,0.142,45.0,300,3,1.0,2.47 (1.87-3.06),297,99.0,3.81 (3.60-4.02)
microglia 1,1615.0,0.092,25.0,161,41,25.47,1.73 (1.47-1.98),120,74.53,3.97 (3.70-4.24)
oligodendrocytes 3,1003.0,0.063,14.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.155,79.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90)
