tipo_celular,module_size,SGSM1_MM,SGSM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.195,78.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.199,71.0,127,1,0.79,3.18 (NA-NA),126,99.21,3.84 (3.50-4.18)
GABA neurons expressing GLU receptors 22,1069.0,0.22,84.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,229.0,0.234,73.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,853.0,0.198,83.0,133,5,3.76,1.08 (-0.12-2.28),128,96.24,3.36 (3.04-3.67)
GABA neurons expressing GABA receptors 13,265.0,0.143,41.0,78,4,5.13,3.55 (3.14-3.96),74,94.87,4.42 (3.98-4.85)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.039,11.0,33,1,3.03,4.47 (NA-NA),32,96.97,2.67 (2.19-3.16)
GABA like neurons 14,1300.0,0.337,95.0,306,11,3.59,3.66 (2.71-4.61),295,96.41,5.16 (4.89-5.43)
astrocytes 8,1266.0,0.124,79.0,66,11,16.67,2.71 (1.45-3.98),55,83.33,3.35 (2.93-3.77)
oligodendrocyte progenitor cells 12,3303.0,0.114,86.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,806.0,0.156,49.0,261,7,2.68,2.92 (2.16-3.67),254,97.32,4.42 (4.17-4.66)
connective tissue cells 21,84.0,0.3,75.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,1401.0,0.095,58.0,96,2,2.08,NA,94,97.92,3.61 (3.16-4.06)
oligodendrocytes 16,113.0,0.112,9.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,300.0,0.114,31.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,157.0,0.233,6.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,161.0,0.19,57.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,117.0,0.124,33.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.242,88.0,6,2,33.33,5.16 (5.16-5.16),4,66.67,6.40 (5.12-7.67)
oligodendrocytes 2,347.0,0.264,76.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
