tipo_celular,module_size,PLEKHM3_MM,PLEKHM3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.115,19.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610,0.149,48.0,98,7,7.14,0.47 (0.28-0.65),91,92.86,3.35 (3.05-3.64)
astrocytes 5,932,0.088,18.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.13,42.0,353,9,2.55,0.98 (0.28-1.68),344,97.45,3.99 (3.81-4.17)
GABA neurons expressing GLU receptors 22,599,0.144,18.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1316,0.107,35.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,132,0.307,65.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,80,0.232,88.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653,0.076,10.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330,0.088,17.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,2090,0.18,68.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,771,0.052,14.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303,0.114,86.0,276,2,0.72,2.77 (1.72-3.83),274,99.28,3.55 (3.33-3.77)
oligodendrocytes 10,806,0.057,10.0,261,1,0.38,2.24 (NA-NA),260,99.62,4.38 (4.13-4.62)
connective tissue cells 21,82,0.284,66.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,418,0.055,30.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,156,0.144,9.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,553,0.192,82.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,116,0.255,14.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,787,0.123,10.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.161,76.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615,0.153,91.0,161,8,4.97,0.82 (0.11-1.54),153,95.03,3.43 (3.17-3.69)
oligodendrocytes 3,1003,0.1,55.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804,0.156,55.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09)
