tipo_celular,module_size,EPB41L3_MM,EPB41L3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.453,98.0,102,9,8.82,2.53 (1.64-3.42),93,91.18,3.60 (3.21-3.98)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.179,60.0,127,7,5.51,3.30 (1.96-4.64),120,94.49,3.88 (3.53-4.23)
GABA neurons expressing GLU receptors 22,823.0,0.198,62.0,23,1,4.35,3.78 (NA-NA),22,95.65,2.31 (1.57-3.06)
GLU like neurons 17,300.0,0.109,4.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,209.0,0.373,89.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357.0,0.338,92.0,237,4,1.69,4.34 (3.48-5.20),233,98.31,4.41 (4.17-4.65)
endothelial cells 9,586.0,0.34,73.0,62,4,6.45,3.67 (2.12-5.21),58,93.55,4.08 (3.61-4.55)
oligodendrocytes 20,275.0,0.078,10.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,1300.0,0.108,11.0,306,59,19.28,4.38 (3.81-4.96),247,80.72,5.34 (5.05-5.62)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.134,60.0,25,3,12.0,1.22 (-0.77-3.20),22,88.0,3.04 (2.01-4.08)
oligodendrocytes 10,806.0,0.049,7.0,261,25,9.58,4.99 (4.22-5.77),236,90.42,4.28 (4.03-4.53)
connective tissue cells 21,147.0,0.317,83.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,151.0,0.12,7.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,300.0,0.244,75.0,159,3,1.89,4.42 (3.26-5.58),156,98.11,4.36 (4.05-4.68)
astrocytes microglia 23,327.0,0.187,8.0,120,9,7.5,1.64 (0.65-2.63),111,92.5,3.81 (3.52-4.10)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,117.0,0.096,11.0,4,2,50.0,6.69 (5.73-7.65),2,50.0,5.16 (5.16-5.16)
microglia 1,480.0,0.205,57.0,163,1,0.61,4.70 (NA-NA),162,99.39,3.70 (3.43-3.97)
oligodendrocytes 3,639.0,0.077,34.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,347.0,0.158,29.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
