tipo_celular,module_size,CPNE5_MM,CPNE5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.223,86.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.093,6.0,353,6,1.7,0.86 (0.30-1.41),347,98.3,3.96 (3.77-4.14)
GABA neurons expressing GLU receptors 22,1069.0,0.112,14.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.118,25.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,262.0,0.129,47.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.106,80.0,276,4,1.45,1.13 (0.49-1.78),272,98.55,3.59 (3.37-3.81)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.074,37.0,105,4,3.81,1.06 (0.28-1.84),101,96.19,3.30 (2.97-3.64)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.37,81.0,46,1,2.17,5.24 (NA-NA),45,97.83,5.03 (4.45-5.60)
astrocytes 4,161.0,0.27,81.0,45,1,2.22,8.28 (NA-NA),44,97.78,5.18 (4.57-5.78)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
