tipo_celular,module_size,MYH10_MM,MYH10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.081,3.0,166,9,5.42,1.46 (0.70-2.22),157,94.58,3.51 (3.26-3.76)
oligodendrocyte progenitor cells 7,666.0,0.126,20.0,127,20,15.75,3.26 (2.12-4.39),107,84.25,3.94 (3.61-4.28)
GABA neurons expressing GLU receptors 22,823.0,0.183,52.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,380.0,0.166,45.0,39,2,5.13,3.04 (1.12-4.96),37,94.87,2.96 (2.38-3.54)
da like neurons 11,853.0,0.23,91.0,133,21,15.79,2.28 (1.51-3.06),112,84.21,3.45 (3.12-3.78)
GABA neurons expressing GABA receptors 13,266.0,0.22,78.0,118,7,5.93,4.65 (4.07-5.23),111,94.07,4.74 (4.36-5.12)
endothelial cells 9,338.0,0.126,46.0,191,2,1.05,2.15 (1.98-2.31),189,98.95,3.91 (3.68-4.13)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.258,74.0,306,33,10.78,3.31 (2.60-4.03),273,89.22,5.40 (5.14-5.66)
astrocytes 8,1266.0,0.084,53.0,66,17,25.76,1.67 (1.04-2.31),49,74.24,3.89 (3.50-4.27)
oligodendrocyte progenitor cells 12,3303.0,0.132,95.0,276,30,10.87,2.40 (1.98-2.81),246,89.13,3.72 (3.48-3.95)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.105,67.0,105,14,13.33,1.84 (1.23-2.44),91,86.67,3.43 (3.07-3.78)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.123,62.0,122,39,31.97,2.78 (2.25-3.32),83,68.03,4.68 (4.23-5.14)
astrocytes microglia 23,86.0,0.223,9.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,721.0,0.132,16.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
