tipo_celular,module_size,SET_MM,SET_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.231,48.0,98,8,8.16,1.74 (1.01-2.48),90,91.84,3.41 (2.90-3.91)
T cells 18,506.0,0.204,57.0,225,23,10.22,3.00 (2.47-3.53),202,89.78,3.71 (3.44-3.99)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.145,35.0,164,1,0.61,3.74 (NA-NA),163,99.39,4.09 (3.76-4.42)
GABA neurons expressing GLU receptors 22,487.0,0.446,97.0,73,6,8.22,1.76 (1.18-2.34),67,91.78,2.86 (2.45-3.27)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.203,58.0,410,16,3.9,3.65 (2.84-4.46),394,96.1,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,80.0,0.178,61.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.201,48.0,302,4,1.32,1.98 (0.55-3.41),298,98.68,4.02 (3.79-4.24)
oligodendrocytes 20,938.0,0.096,35.0,169,9,5.33,2.43 (1.35-3.51),160,94.67,3.55 (3.33-3.77)
GABA like neurons 14,2402.0,0.378,77.0,455,25,5.49,1.72 (1.27-2.18),430,94.51,4.56 (4.38-4.74)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.079,31.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,735.0,0.199,88.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,106.0,0.327,75.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.23,64.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,553.0,0.08,13.0,124,3,2.42,4.02 (-0.05-8.08),121,97.58,4.19 (3.80-4.58)
astrocytes microglia 23,161.0,0.284,29.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.174,77.0,127,16,12.6,2.38 (1.91-2.86),111,87.4,3.22 (2.72-3.71)
microglia 1,406.0,0.137,31.0,278,8,2.88,4.78 (4.33-5.22),270,97.12,4.34 (4.06-4.63)
oligodendrocytes 3,303.0,0.104,34.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,528.0,0.284,82.0,175,6,3.43,4.83 (3.72-5.94),169,96.57,4.35 (3.99-4.72)
