tipo_celular,module_size,RRN3_MM,RRN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.116,20.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.103,29.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.152,75.0,353,34,9.63,1.56 (1.22-1.91),319,90.37,4.19 (4.02-4.36)
GABA neurons expressing GLU receptors 22,1069.0,0.135,27.0,37,3,8.11,1.90 (1.43-2.38),34,91.89,2.18 (1.68-2.68)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,215.0,0.154,36.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.045,2.0,275,30,10.91,1.58 (1.23-1.93),245,89.09,4.38 (4.13-4.63)
oligodendrocytes 20,271.0,0.068,8.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.108,24.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68)
astrocytes 8,577.0,0.051,19.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303.0,0.094,69.0,276,26,9.42,1.74 (1.45-2.02),250,90.58,3.77 (3.55-4.00)
oligodendrocytes 10,735.0,0.06,19.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,126.0,0.372,92.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74)
astrocytes 15,1768.0,0.036,5.0,105,15,14.29,1.37 (1.05-1.69),90,85.71,3.55 (3.21-3.89)
oligodendrocytes 16,71.0,0.135,15.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.141,42.0,104,23,22.12,1.61 (1.27-1.94),81,77.88,3.26 (2.96-3.56)
oligodendrocytes 0,2078.0,0.117,55.0,238,4,1.68,1.59 (0.59-2.58),234,98.32,3.68 (3.46-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.053,10.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,1630.0,0.128,24.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50)
