tipo_celular,module_size,TMEM192_MM,TMEM192_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.098,10.0,19,7,36.84,3.96 (3.77-4.15),12,63.16,1.68 (0.88-2.48)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.103,42.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,18,5.1,1.69 (1.17-2.21),335,94.9,4.04 (3.86-4.23)
GABA neurons expressing GLU receptors 22,1069.0,0.156,44.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,685.0,0.149,60.0,135,6,4.44,1.94 (1.05-2.82),129,95.56,3.26 (2.94-3.57)
da like neurons 11,87.0,0.202,26.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,228.0,0.262,71.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51)
GABA like neurons 14,2090.0,0.142,41.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,727.0,0.128,63.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.054,20.0,276,11,3.99,2.28 (1.70-2.86),265,96.01,3.60 (3.38-3.83)
oligodendrocytes 10,2107.0,0.029,1.0,358,15,4.19,1.57 (0.98-2.17),343,95.81,4.00 (3.81-4.19)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.061,35.0,10,1,10.0,2.95 (NA-NA),9,90.0,3.80 (1.86-5.74)
oligodendrocytes 16,107.0,0.23,58.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,114.0,0.304,48.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.152,53.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.115,52.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,813.0,0.062,1.0,79,5,6.33,2.64 (2.09-3.20),74,93.67,3.14 (2.71-3.57)
oligodendrocytes 3,854.0,0.055,10.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,921.0,0.098,5.0,200,2,1.0,1.99 (1.51-2.47),198,99.0,3.64 (3.37-3.91)
