tipo_celular,module_size,RPL35_MM,RPL35_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.532,95.0,98,30,30.61,3.21 (2.49-3.93),68,69.39,3.21 (2.59-3.84)
T cells 18,506.0,0.263,71.0,225,28,12.44,3.19 (2.44-3.93),197,87.56,3.69 (3.43-3.95)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.238,83.0,108,12,11.11,4.34 (3.45-5.23),96,88.89,3.09 (2.61-3.56)
GABA neurons expressing GLU receptors 22,400.0,0.183,40.0,24,9,37.5,1.04 (0.34-1.73),15,62.5,2.83 (2.39-3.26)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.166,45.0,410,17,4.15,3.18 (2.47-3.89),393,95.85,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,77.0,0.225,81.0,8,2,25.0,2.24 (-0.28-4.75),6,75.0,3.62 (2.82-4.41)
endothelial cells 9,916.0,0.499,92.0,302,15,4.97,4.01 (2.77-5.24),287,95.03,3.98 (3.75-4.21)
oligodendrocytes 20,938.0,0.157,65.0,169,19,11.24,3.03 (2.31-3.75),150,88.76,3.55 (3.32-3.77)
GABA like neurons 14,2402.0,0.488,87.0,455,41,9.01,2.59 (1.99-3.19),414,90.99,4.58 (4.40-4.76)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.293,91.0,235,17,7.23,4.23 (3.37-5.09),218,92.77,3.78 (3.54-4.03)
oligodendrocytes 10,483.0,0.4,91.0,129,16,12.4,4.58 (3.68-5.47),113,87.6,3.25 (2.84-3.67)
connective tissue cells 21,118.0,0.371,80.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,96.0,0.393,98.0,102,35,34.31,2.65 (2.08-3.21),67,65.69,3.83 (3.48-4.17)
da neurons 6,729.0,0.194,70.0,182,23,12.64,3.55 (2.77-4.34),159,87.36,3.65 (3.39-3.91)
astrocytes microglia 23,137.0,0.327,36.0,188,38,20.21,2.63 (2.08-3.17),150,79.79,4.97 (4.63-5.32)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.185,59.0,252,39,15.48,2.64 (2.02-3.27),213,84.52,4.44 (4.20-4.68)
microglia 1,406.0,0.463,85.0,278,10,3.6,4.17 (3.08-5.27),268,96.4,4.37 (4.09-4.65)
oligodendrocytes 3,303.0,0.208,74.0,154,13,8.44,4.61 (3.64-5.58),141,91.56,3.51 (3.18-3.84)
oligodendrocytes 2,526.0,0.305,62.0,213,10,4.69,4.48 (3.35-5.61),203,95.31,3.95 (3.67-4.23)
