tipo_celular,module_size,MRPL20_MM,MRPL20_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.078,4.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,282.0,0.173,56.0,241,1,0.41,1.82 (NA-NA),240,99.59,4.07 (3.82-4.32)
astrocytes 5,328.0,0.152,44.0,128,6,4.69,3.43 (2.70-4.16),122,95.31,3.58 (3.22-3.94)
oligodendrocyte progenitor cells 7,628.0,0.104,8.0,164,5,3.05,2.11 (1.71-2.52),159,96.95,4.17 (3.84-4.50)
GABA neurons expressing GLU receptors 22,400.0,0.414,97.0,24,14,58.33,1.31 (0.88-1.75),10,41.67,3.33 (2.89-3.78)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.181,50.0,410,19,4.63,2.48 (2.03-2.94),391,95.37,4.37 (4.18-4.56)
GABA neurons expressing GABA receptors 13,417.0,0.119,18.0,213,36,16.9,2.01 (1.63-2.39),177,83.1,4.26 (4.03-4.49)
endothelial cells 9,916.0,0.206,50.0,302,22,7.28,2.81 (2.37-3.26),280,92.72,4.11 (3.87-4.35)
oligodendrocytes 20,938.0,0.066,21.0,169,18,10.65,2.33 (1.82-2.85),151,89.35,3.65 (3.42-3.88)
GABA like neurons 14,2402.0,0.431,83.0,455,39,8.57,2.02 (1.67-2.38),416,91.43,4.66 (4.48-4.83)
astrocytes 8,603.0,0.094,62.0,89,17,19.1,2.21 (1.65-2.76),72,80.9,2.96 (2.53-3.38)
oligodendrocyte progenitor cells 12,1049.0,0.106,59.0,235,12,5.11,2.80 (2.26-3.34),223,94.89,3.89 (3.65-4.14)
oligodendrocytes 10,735.0,0.158,78.0,277,2,0.72,3.49 (2.77-4.20),275,99.28,3.90 (3.65-4.14)
connective tissue cells 21,142.0,0.383,85.0,55,7,12.73,1.27 (0.54-1.99),48,87.27,4.13 (3.23-5.04)
astrocytes 15,418.0,0.071,39.0,54,2,3.7,1.79 (0.82-2.75),52,96.3,3.76 (3.32-4.20)
oligodendrocytes 16,158.0,0.208,55.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,729.0,0.128,37.0,182,18,9.89,2.83 (2.31-3.35),164,90.11,3.75 (3.48-4.02)
astrocytes microglia 23,53.0,0.307,43.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.088,1.0,104,19,18.27,1.49 (1.13-1.84),85,81.73,3.20 (2.91-3.49)
oligodendrocytes 0,546.0,0.126,25.0,252,35,13.89,1.86 (1.50-2.22),217,86.11,4.60 (4.37-4.83)
microglia 1,406.0,0.08,5.0,278,5,1.8,3.56 (2.72-4.40),273,98.2,4.38 (4.11-4.66)
oligodendrocytes 3,303.0,0.098,30.0,154,6,3.9,3.43 (2.70-4.16),148,96.1,3.63 (3.30-3.96)
oligodendrocytes 2,526.0,0.211,33.0,213,10,4.69,2.98 (2.43-3.53),203,95.31,4.04 (3.76-4.33)
