tipo_celular,module_size,NAE1_MM,NAE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.227,82.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.131,75.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.141,60.0,353,39,11.05,2.44 (1.98-2.91),314,88.95,4.12 (3.94-4.31)
GABA neurons expressing GLU receptors 22,400.0,0.312,91.0,24,11,45.83,1.48 (0.67-2.29),13,54.17,2.73 (2.25-3.21)
GLU like neurons 17,795.0,0.097,28.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,215.0,0.061,1.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.081,15.0,297,17,5.72,3.70 (3.34-4.06),280,94.28,3.67 (3.45-3.89)
oligodendrocytes 20,322.0,0.084,32.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090.0,0.13,32.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,603.0,0.044,15.0,89,4,4.49,1.39 (0.47-2.32),85,95.51,2.85 (2.49-3.21)
oligodendrocyte progenitor cells 12,3303.0,0.028,2.0,276,32,11.59,2.78 (2.27-3.29),244,88.41,3.66 (3.43-3.90)
oligodendrocytes 10,735.0,0.045,10.0,277,2,0.72,NA,275,99.28,3.89 (3.65-4.14)
connective tissue cells 21,102.0,0.286,52.0,5,1,20.0,1.01 (NA-NA),4,80.0,1.57 (1.57-1.57)
astrocytes 15,1768.0,0.046,10.0,105,23,21.9,2.43 (1.91-2.94),82,78.1,3.46 (3.06-3.85)
oligodendrocytes 16,91.0,0.282,92.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,729.0,0.072,9.0,182,1,0.55,5.39 (NA-NA),181,99.45,3.62 (3.37-3.88)
astrocytes microglia 23,127.0,0.349,74.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.16,78.0,104,20,19.23,2.12 (1.57-2.67),84,80.77,3.06 (2.75-3.37)
oligodendrocytes 0,2078.0,0.14,93.0,238,11,4.62,3.39 (2.55-4.22),227,95.38,3.65 (3.42-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.07,25.0,87,18,20.69,1.87 (1.33-2.42),69,79.31,2.77 (2.48-3.07)
oligodendrocytes 2,921.0,0.15,72.0,200,5,2.5,3.07 (2.38-3.76),195,97.5,3.64 (3.37-3.91)
