tipo_celular,module_size,TNS3_MM,TNS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.273,87.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.187,74.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.225,90.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,823.0,0.322,98.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.303,67.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.166,58.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,283.0,0.243,91.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.512,97.0,32,5,15.62,2.83 (0.22-5.43),27,84.38,3.30 (2.43-4.16)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.266,40.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.179,94.0,96,3,3.12,4.70 (NA-NA),93,96.88,3.60 (3.14-4.05)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.296,52.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,251.0,0.219,84.0,34,1,2.94,4.70 (NA-NA),33,97.06,5.27 (4.63-5.91)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,315.0,0.171,50.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
