tipo_celular,module_size,MFSD1_MM,MFSD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.259,89.0,19,3,15.79,4.03 (4.03-4.03),16,84.21,2.24 (1.46-3.01)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.152,75.0,353,15,4.25,1.69 (0.94-2.43),338,95.75,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,795.0,0.081,18.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,289.0,0.163,40.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.065,5.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,298.0,0.039,9.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.172,77.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.081,53.0,276,5,1.81,2.15 (0.71-3.60),271,98.19,3.57 (3.35-3.79)
oligodendrocytes 10,2107.0,0.127,42.0,358,15,4.19,1.61 (0.86-2.36),343,95.81,3.99 (3.81-4.18)
connective tissue cells 21,92.0,0.32,70.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,69.0,0.28,89.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,228.0,0.066,11.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,110.0,0.25,19.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.126,74.0,238,2,0.84,1.10 (-0.65-2.86),236,99.16,3.66 (3.44-3.88)
microglia 1,346.0,0.192,73.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,854.0,0.07,25.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.134,33.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
