tipo_celular,module_size,CLSTN1_MM,CLSTN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.139,28.0,73,3,4.11,4.14 (4.14-4.14),70,95.89,3.54 (3.19-3.90)
T cells 18,282,0.196,63.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,228,0.088,4.0,266,10,3.76,3.19 (2.07-4.31),256,96.24,4.15 (3.94-4.37)
oligodendrocyte progenitor cells 7,628,0.238,80.0,164,4,2.44,3.30 (1.70-4.89),160,97.56,4.11 (3.78-4.45)
GABA neurons expressing GLU receptors 22,848,0.418,94.0,262,22,8.4,3.71 (2.99-4.42),240,91.6,4.22 (3.96-4.48)
GLU like neurons 17,1247,0.141,56.0,51,2,3.92,5.51 (5.51-5.51),49,96.08,3.53 (2.94-4.12)
da like neurons 11,1220,0.15,38.0,410,4,0.98,2.10 (0.58-3.61),406,99.02,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,357,0.349,94.0,237,4,1.69,5.63 (3.34-7.92),233,98.31,4.38 (4.15-4.61)
endothelial cells 9,586,0.146,33.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53)
oligodendrocytes 20,938,0.054,14.0,169,4,2.37,1.33 (0.15-2.51),165,97.63,3.54 (3.33-3.76)
GABA like neurons 14,2402,0.263,58.0,455,3,0.66,2.10 (0.58-3.61),452,99.34,4.36 (4.18-4.55)
astrocytes 8,520,0.146,59.0,288,11,3.82,3.64 (2.50-4.78),277,96.18,4.20 (3.99-4.40)
oligodendrocyte progenitor cells 12,143,0.448,65.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,806,0.269,74.0,261,11,4.21,4.58 (3.57-5.60),250,95.79,4.35 (4.10-4.60)
connective tissue cells 21,136,0.209,9.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,261,0.125,34.0,8,1,12.5,4.26 (NA-NA),7,87.5,3.58 (1.19-5.97)
oligodendrocytes 16,313,0.241,59.0,291,3,1.03,3.19 (0.04-6.33),288,98.97,4.34 (4.12-4.57)
da neurons 6,300,0.247,76.0,159,2,1.26,2.72 (2.64-2.81),157,98.74,4.39 (4.08-4.70)
astrocytes microglia 23,110,0.288,39.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.142,31.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,613,0.112,17.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,214,0.147,36.0,227,5,2.2,3.92 (2.15-5.69),222,97.8,4.10 (3.86-4.33)
oligodendrocytes 3,457,0.088,34.0,345,10,2.9,2.93 (2.09-3.77),335,97.1,4.32 (4.11-4.54)
oligodendrocytes 2,528,0.172,31.0,175,7,4.0,2.99 (1.78-4.20),168,96.0,4.45 (4.10-4.81)
