tipo_celular,module_size,NDRG1_MM,NDRG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.248,69.0,68,14,20.59,3.28 (2.06-4.51),54,79.41,4.63 (4.03-5.23)
astrocytes 5,165.0,0.232,66.0,51,1,1.96,4.70 (NA-NA),50,98.04,5.37 (4.68-6.05)
oligodendrocyte progenitor cells 7,229.0,0.242,71.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.504,96.0,91,15,16.48,1.51 (0.57-2.45),76,83.52,5.13 (4.67-5.59)
da like neurons 11,408.0,0.488,91.0,25,7,28.0,1.35 (0.50-2.21),18,72.0,6.01 (4.76-7.26)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.224,70.0,155,1,0.65,NA,154,99.35,4.34 (3.97-4.70)
oligodendrocytes 20,938.0,0.097,35.0,169,20,11.83,3.03 (2.36-3.71),149,88.17,3.53 (3.30-3.77)
GABA like neurons 14,3052.0,0.062,3.0,125,5,4.0,3.80 (2.31-5.29),120,96.0,3.34 (3.01-3.67)
astrocytes 8,771.0,0.507,93.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.449,95.0,25,2,8.0,0.21 (NA-NA),23,92.0,3.00 (2.02-3.99)
oligodendrocytes 10,236.0,0.487,51.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,250.0,0.302,47.0,117,9,7.69,3.51 (2.37-4.65),108,92.31,5.54 (5.14-5.94)
astrocytes 15,338.0,0.135,39.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,287.0,0.288,46.0,105,14,13.33,2.99 (1.92-4.05),91,86.67,5.42 (4.99-5.86)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.449,70.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37)
astrocytes 4,102.0,0.188,48.0,42,1,2.38,3.22 (NA-NA),41,97.62,5.77 (5.06-6.49)
oligodendrocytes 0,546.0,0.27,84.0,252,30,11.9,2.43 (1.83-3.03),222,88.1,4.33 (4.08-4.58)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,127.0,0.403,84.0,45,3,6.67,1.95 (0.80-3.10),42,93.33,4.62 (3.75-5.50)
oligodendrocytes 2,528.0,0.45,97.0,175,22,12.57,3.71 (3.18-4.24),153,87.43,4.48 (4.09-4.87)
