tipo_celular,module_size,RPL21_MM,RPL21_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.361,72.0,98,20,20.41,2.40 (1.83-2.97),78,79.59,3.53 (2.93-4.12)
T cells 18,506.0,0.203,56.0,225,19,8.44,2.39 (1.81-2.97),206,91.56,3.76 (3.50-4.02)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.355,79.0,302,9,2.98,2.95 (1.85-4.04),293,97.02,4.02 (3.79-4.25)
oligodendrocytes 20,938.0,0.219,85.0,169,14,8.28,2.69 (1.92-3.47),155,91.72,3.56 (3.34-3.79)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,483.0,0.295,82.0,129,9,6.98,3.57 (3.00-4.15),120,93.02,3.42 (2.99-3.84)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,96.0,0.196,34.0,102,26,25.49,2.10 (1.61-2.59),76,74.51,3.88 (3.53-4.22)
da neurons 6,729.0,0.163,57.0,182,15,8.24,2.65 (2.00-3.30),167,91.76,3.74 (3.47-4.00)
astrocytes microglia 23,137.0,0.255,16.0,188,23,12.23,2.23 (1.69-2.76),165,87.77,4.76 (4.41-5.10)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.15,38.0,252,27,10.71,2.06 (1.54-2.58),225,89.29,4.41 (4.17-4.66)
microglia 1,406.0,0.345,73.0,278,8,2.88,3.69 (3.08-4.30),270,97.12,4.39 (4.11-4.67)
oligodendrocytes 3,303.0,0.143,53.0,154,9,5.84,3.57 (3.00-4.15),145,94.16,3.62 (3.29-3.96)
oligodendrocytes 2,526.0,0.217,36.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28)
