tipo_celular,module_size,SGTA_MM,SGTA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.061,1.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.11,18.0,353,53,15.01,2.71 (2.30-3.12),300,84.99,4.17 (3.98-4.37)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.077,6.0,410,35,8.54,4.31 (3.75-4.88),375,91.46,4.24 (4.04-4.44)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,338.0,0.071,14.0,191,5,2.62,3.73 (2.40-5.05),186,97.38,3.89 (3.66-4.12)
oligodendrocytes 20,358.0,0.184,63.0,31,2,6.45,3.02 (2.59-3.46),29,93.55,2.31 (1.85-2.77)
GABA like neurons 14,3052.0,0.123,36.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.077,51.0,89,5,5.62,2.29 (0.39-4.19),84,94.38,2.80 (2.45-3.15)
oligodendrocyte progenitor cells 12,708.0,0.237,80.0,32,14,43.75,1.99 (1.27-2.70),18,56.25,4.50 (3.38-5.63)
oligodendrocytes 10,806.0,0.042,5.0,261,11,4.21,4.49 (3.21-5.77),250,95.79,4.36 (4.11-4.60)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.023,3.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,74.0,0.244,84.0,1,1,100.0,NA,0,0.0,NA
da neurons 6,228.0,0.078,24.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,135.0,0.399,90.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.131,26.0,104,19,18.27,2.28 (1.61-2.96),85,81.73,3.00 (2.70-3.31)
oligodendrocytes 0,309.0,0.1,15.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.058,15.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,1630.0,0.096,2.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
