tipo_celular,module_size,USP30_MM,USP30_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.119,56.0,136,5,3.68,1.96 (NA-NA),131,96.32,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.126,36.0,353,38,10.76,2.25 (1.63-2.88),315,89.24,4.11 (3.93-4.29)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1316.0,0.061,5.0,101,5,4.95,3.92 (2.25-5.59),96,95.05,2.99 (2.64-3.35)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.031,3.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2090.0,0.142,42.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,260.0,0.032,3.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.077,48.0,276,19,6.88,2.45 (1.75-3.14),257,93.12,3.64 (3.41-3.86)
oligodendrocytes 10,1277.0,0.046,10.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.046,18.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,74.0,0.141,13.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,127.0,0.327,61.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.136,33.0,104,16,15.38,1.92 (1.35-2.48),88,84.62,3.05 (2.75-3.35)
oligodendrocytes 0,2078.0,0.135,88.0,238,18,7.56,4.16 (3.02-5.30),220,92.44,3.60 (3.38-3.82)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.057,14.0,15,7,46.67,1.42 (0.53-2.32),8,53.33,5.52 (4.23-6.80)
oligodendrocytes 2,1630.0,0.162,87.0,154,4,2.6,1.97 (1.67-2.26),150,97.4,3.26 (3.00-3.53)
