tipo_celular,module_size,MED24_MM,MED24_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.08,6.0,136,8,5.88,3.03 (1.94-4.11),128,94.12,3.22 (2.94-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,60,17.0,2.28 (1.96-2.60),293,83.0,4.33 (4.14-4.51)
GABA neurons expressing GLU receptors 22,703.0,0.117,15.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.14,57.0,133,38,28.57,1.93 (1.62-2.23),95,71.43,3.93 (3.57-4.29)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.083,9.0,141,12,8.51,2.37 (1.66-3.09),129,91.49,3.01 (2.76-3.26)
oligodendrocytes 20,938.0,0.059,17.0,169,5,2.96,1.33 (0.42-2.25),164,97.04,3.56 (3.35-3.77)
GABA like neurons 14,3052.0,0.14,51.0,125,3,2.4,4.23 (3.75-4.71),122,97.6,3.33 (2.99-3.66)
astrocytes 8,577.0,0.028,2.0,83,5,6.02,2.10 (0.92-3.27),78,93.98,3.32 (2.86-3.79)
oligodendrocyte progenitor cells 12,3303.0,0.063,31.0,276,50,18.12,2.33 (2.03-2.62),226,81.88,3.91 (3.67-4.15)
oligodendrocytes 10,735.0,0.064,24.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,103.0,0.473,100.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1768.0,0.063,26.0,105,20,19.05,1.83 (1.29-2.36),85,80.95,3.57 (3.21-3.93)
oligodendrocytes 16,158.0,0.232,72.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,300.0,0.109,27.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,78.0,0.305,38.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54)
astrocytes 4,1807.0,0.153,65.0,104,30,28.85,2.25 (1.74-2.75),74,71.15,3.14 (2.82-3.46)
oligodendrocytes 0,2078.0,0.093,12.0,238,20,8.4,3.07 (2.49-3.64),218,91.6,3.70 (3.46-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.04,2.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.149,66.0,154,5,3.25,4.12 (3.43-4.81),149,96.75,3.21 (2.94-3.48)
