tipo_celular,module_size,WDR59_MM,WDR59_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.047,0.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,282.0,0.151,30.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932.0,0.115,59.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.152,76.0,353,18,5.1,1.68 (1.08-2.29),335,94.9,4.05 (3.86-4.23)
GABA neurons expressing GLU receptors 22,703.0,0.129,19.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316.0,0.091,20.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,215.0,0.236,64.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.152,69.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,298.0,0.267,87.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2090.0,0.231,91.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.092,61.0,66,11,16.67,1.60 (0.74-2.46),55,83.33,3.62 (3.21-4.02)
oligodendrocyte progenitor cells 12,3303.0,0.075,45.0,276,10,3.62,1.96 (1.13-2.78),266,96.38,3.61 (3.39-3.83)
oligodendrocytes 10,1277.0,0.136,67.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,114.0,0.263,39.0,11,1,9.09,0.40 (NA-NA),10,90.91,1.74 (0.59-2.89)
astrocytes 15,367.0,0.109,28.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,112.0,0.192,64.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,59.0,0.286,38.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.127,12.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.169,85.0,300,15,5.0,4.16 (3.58-4.74),285,95.0,3.77 (3.56-3.99)
microglia 1,1615.0,0.108,47.0,161,18,11.18,2.06 (1.17-2.96),143,88.82,3.45 (3.19-3.72)
oligodendrocytes 3,854.0,0.116,76.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,407.0,0.191,81.0,122,23,18.85,2.74 (1.80-3.69),99,81.15,3.50 (3.08-3.91)
