tipo_celular,module_size,CRMP1_MM,CRMP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,21,5.95,1.60 (1.07-2.13),332,94.05,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,1069.0,0.139,31.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,795.0,0.108,37.0,80,4,5.0,4.41 (4.25-4.56),76,95.0,5.75 (5.32-6.18)
da like neurons 11,153.0,0.125,19.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,265.0,0.141,40.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.145,56.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.07,39.0,276,14,5.07,1.62 (0.95-2.29),262,94.93,3.65 (3.43-3.87)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.087,34.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,53.0,0.421,91.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
