tipo_celular,module_size,ADAM12_MM,ADAM12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.301,88.0,58,15,25.86,3.90 (2.96-4.83),43,74.14,4.30 (3.84-4.75)
oligodendrocyte progenitor cells 7,4285.0,0.175,96.0,353,21,5.95,1.59 (1.10-2.08),332,94.05,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,823.0,0.184,53.0,23,2,8.7,2.11 (-0.05-4.28),21,91.3,2.43 (1.64-3.22)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.646,100.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2090.0,0.072,4.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.095,63.0,66,13,19.7,1.82 (1.10-2.54),53,80.3,3.64 (3.21-4.07)
oligodendrocyte progenitor cells 12,3303.0,0.046,12.0,276,16,5.8,2.00 (1.50-2.50),260,94.2,3.67 (3.45-3.89)
oligodendrocytes 10,1277.0,0.183,86.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,183.0,0.451,91.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,1401.0,0.118,76.0,96,1,1.04,1.78 (NA-NA),95,98.96,3.64 (3.18-4.09)
oligodendrocytes 16,64.0,0.201,54.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,91.0,0.291,60.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,171.0,0.208,66.0,22,2,9.09,6.16 (5.81-6.51),20,90.91,4.33 (3.33-5.32)
oligodendrocytes 0,613.0,0.177,78.0,127,4,3.15,2.54 (0.99-4.09),123,96.85,3.07 (2.64-3.50)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.214,97.0,87,14,16.09,1.64 (1.12-2.16),73,83.91,2.78 (2.49-3.07)
oligodendrocytes 2,921.0,0.16,84.0,200,2,1.0,2.73 (1.22-4.24),198,99.0,3.63 (3.36-3.90)
