tipo_celular,module_size,KIFC3_MM,KIFC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.108,48.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.08,2.0,353,15,4.25,1.25 (0.60-1.89),338,95.75,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,823.0,0.136,23.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12)
GLU like neurons 17,300.0,0.224,79.0,16,2,12.5,2.43 (-0.78-5.64),14,87.5,2.02 (1.11-2.94)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,271.0,0.247,77.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2090.0,0.15,47.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.122,78.0,66,12,18.18,1.70 (0.73-2.67),54,81.82,3.55 (3.14-3.96)
oligodendrocyte progenitor cells 12,3303.0,0.053,18.0,276,10,3.62,2.15 (0.99-3.31),266,96.38,3.59 (3.37-3.81)
oligodendrocytes 10,1277.0,0.042,7.0,27,1,3.7,5.62 (NA-NA),26,96.3,5.39 (4.48-6.31)
connective tissue cells 21,111.0,0.331,79.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,338.0,0.105,15.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,74.0,0.131,14.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,118.0,0.276,32.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.17,82.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,2078.0,0.095,14.0,238,2,0.84,0.21 (NA-NA),236,99.16,3.65 (3.43-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.079,15.0,6,1,16.67,6.20 (NA-NA),5,83.33,5.94 (4.78-7.11)
oligodendrocytes 2,347.0,0.118,7.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
