tipo_celular,module_size,HHAT_MM,HHAT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,388.0,0.129,37.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,499.0,0.151,45.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,24,6.8,1.63 (1.17-2.08),329,93.2,4.11 (3.93-4.29)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1316.0,0.08,13.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.115,29.0,125,3,2.4,3.37 (3.00-3.73),122,97.6,3.35 (3.02-3.68)
astrocytes 8,577.0,0.043,12.0,83,4,4.82,3.12 (2.59-3.65),79,95.18,3.26 (2.78-3.74)
oligodendrocyte progenitor cells 12,3303.0,0.072,42.0,276,14,5.07,1.98 (1.45-2.51),262,94.93,3.65 (3.43-3.88)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.046,10.0,105,18,17.14,2.07 (1.53-2.62),87,82.86,3.47 (3.10-3.84)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,72.0,0.438,95.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.117,9.0,104,20,19.23,2.21 (1.65-2.77),84,80.77,3.03 (2.72-3.35)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
