tipo_celular,module_size,INPP1_MM,INPP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.152,95.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,8,2.27,1.35 (0.52-2.18),345,97.73,3.97 (3.78-4.15)
GABA neurons expressing GLU receptors 22,599.0,0.116,9.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.088,10.0,410,3,0.73,2.50 (0.59-4.42),407,99.27,4.27 (4.08-4.45)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.103,18.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,348.0,0.123,49.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2402.0,0.173,32.0,455,4,0.88,0.65 (0.34-0.95),451,99.12,4.39 (4.20-4.57)
astrocytes 8,771.0,0.099,42.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,1049.0,0.046,13.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,1277.0,0.059,17.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.236,91.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,71.0,0.297,88.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA
da neurons 6,409.0,0.058,4.0,235,1,0.43,0.82 (NA-NA),234,99.57,3.99 (3.74-4.24)
astrocytes microglia 23,161.0,0.515,100.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807.0,0.17,90.0,104,5,4.81,1.21 (0.35-2.07),99,95.19,2.95 (2.67-3.23)
oligodendrocytes 0,613.0,0.174,76.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.142,91.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.147,17.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
