tipo_celular,module_size,SLC25A26_MM,SLC25A26_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.138,34.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,727.0,0.141,47.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.096,21.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.146,67.0,353,14,3.97,1.13 (0.68-1.58),339,96.03,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,714.0,0.142,26.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,1316.0,0.102,30.0,101,2,1.98,2.56 (1.70-3.42),99,98.02,3.06 (2.71-3.42)
da like neurons 11,289.0,0.179,47.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.112,37.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,253.0,0.265,83.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.124,37.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,354.0,0.141,61.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.054,20.0,276,8,2.9,1.86 (1.39-2.34),268,97.1,3.61 (3.39-3.83)
oligodendrocytes 10,2107.0,0.121,39.0,358,10,2.79,0.81 (0.30-1.32),348,97.21,3.98 (3.79-4.16)
connective tissue cells 21,145.0,0.27,35.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.16,94.0,105,6,5.71,1.43 (0.65-2.21),99,94.29,3.33 (2.99-3.67)
oligodendrocytes 16,71.0,0.142,20.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.383,81.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,787.0,0.149,44.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.107,8.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01)
microglia 1,1615.0,0.102,38.0,161,11,6.83,0.90 (0.41-1.39),150,93.17,3.49 (3.23-3.75)
oligodendrocytes 3,854.0,0.095,57.0,76,2,2.63,1.60 (-1.13-4.34),74,97.37,2.81 (2.48-3.14)
oligodendrocytes 2,921.0,0.129,36.0,200,2,1.0,1.87 (1.62-2.12),198,99.0,3.64 (3.38-3.91)
