tipo_celular,module_size,LRP5_MM,LRP5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.074,5.0,80,3,3.75,4.35 (2.65-6.05),77,96.25,3.64 (3.22-4.06)
oligodendrocyte progenitor cells 7,4285.0,0.098,8.0,353,57,16.15,2.44 (2.19-2.68),296,83.85,4.28 (4.08-4.47)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.062,27.0,66,15,22.73,2.63 (2.08-3.19),51,77.27,3.44 (2.92-3.96)
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,50,18.12,2.33 (2.07-2.59),226,81.88,3.92 (3.67-4.17)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,92.0,0.341,76.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,268.0,0.034,5.0,10,5,50.0,4.08 (0.62-7.55),5,50.0,3.46 (1.38-5.53)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,92.0,0.37,80.0,11,2,18.18,5.17 (5.12-5.21),9,81.82,4.15 (3.53-4.77)
astrocytes 4,1807.0,0.173,94.0,104,20,19.23,1.73 (1.32-2.15),84,80.77,3.16 (2.85-3.46)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
