tipo_celular,module_size,CBX1_MM,CBX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,848.0,0.112,9.0,262,8,3.05,1.30 (0.65-1.95),254,96.95,4.27 (4.03-4.51)
GLU like neurons 17,1247.0,0.081,14.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20)
da like neurons 11,853.0,0.072,7.0,133,58,43.61,2.35 (2.01-2.69),75,56.39,4.05 (3.64-4.47)
GABA neurons expressing GABA receptors 13,73.0,0.192,73.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,916.0,0.097,14.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23)
oligodendrocytes 20,271.0,0.242,75.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.116,14.0,455,20,4.4,1.42 (0.99-1.85),435,95.6,4.53 (4.35-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.07,14.0,261,3,1.15,4.64 (4.20-5.07),258,98.85,4.36 (4.11-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,107.0,0.26,79.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,448.0,0.087,31.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.096,15.0,238,16,6.72,3.03 (2.27-3.79),222,93.28,3.68 (3.46-3.91)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.026,1.0,345,4,1.16,3.08 (1.56-4.61),341,98.84,4.29 (4.08-4.50)
oligodendrocytes 2,528.0,0.159,24.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
