tipo_celular,module_size,FAM50A_MM,FAM50A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.111,35.0,133,31,23.31,1.71 (1.37-2.05),102,76.69,3.84 (3.51-4.17)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.144,30.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23)
oligodendrocytes 20,938.0,0.059,18.0,169,4,2.37,0.95 (0.27-1.63),165,97.63,3.56 (3.34-3.77)
GABA like neurons 14,2402.0,0.191,38.0,455,22,4.84,1.58 (1.13-2.02),433,95.16,4.54 (4.36-4.72)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.085,42.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,78.0,0.221,67.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.089,17.0,182,5,2.75,1.71 (1.16-2.26),177,97.25,3.70 (3.45-3.96)
astrocytes microglia 23,140.0,0.372,83.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.101,12.0,252,17,6.75,1.30 (0.88-1.71),235,93.25,4.37 (4.13-4.60)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.063,9.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.15,15.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
