tipo_celular,module_size,WDR27_MM,WDR27_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.187,34.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,610.0,0.27,98.0,98,12,12.24,1.56 (0.91-2.22),86,87.76,3.36 (3.05-3.68)
astrocytes 5,499.0,0.133,30.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.154,77.0,353,13,3.68,1.48 (0.86-2.10),340,96.32,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,714.0,0.258,84.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,1247.0,0.118,38.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,71.0,0.261,42.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.12,44.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,233.0,0.597,98.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.222,97.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,262.0,0.2,78.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,708.0,0.061,23.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,2107.0,0.174,60.0,358,13,3.63,1.48 (0.86-2.10),345,96.37,3.98 (3.79-4.17)
connective tissue cells 21,91.0,0.294,56.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,367.0,0.195,81.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,121.0,0.148,12.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,52.0,0.365,85.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,752.0,0.126,14.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,479.0,0.125,28.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,1615.0,0.109,50.0,161,13,8.07,1.48 (0.86-2.10),148,91.93,3.47 (3.20-3.74)
oligodendrocytes 3,854.0,0.088,48.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,804.0,0.142,38.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
