tipo_celular,module_size,FAN1_MM,FAN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.131,24.0,98,3,3.06,1.11 (0.53-1.69),95,96.94,3.31 (2.83-3.79)
T cells 18,518.0,0.132,32.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656.0,0.137,83.0,136,3,2.21,2.65 (0.18-5.12),133,97.79,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.156,80.0,353,36,10.2,2.08 (1.60-2.56),317,89.8,4.14 (3.96-4.32)
GABA neurons expressing GLU receptors 22,1069.0,0.122,20.0,37,2,5.41,1.52 (NA-NA),35,94.59,2.18 (1.71-2.64)
GLU like neurons 17,1316.0,0.065,6.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,204.0,0.074,9.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.111,37.0,297,6,2.02,3.21 (2.59-3.83),291,97.98,3.68 (3.47-3.89)
oligodendrocytes 20,330.0,0.23,70.0,36,5,13.89,1.88 (1.36-2.40),31,86.11,1.93 (1.53-2.33)
GABA like neurons 14,3052.0,0.161,69.0,125,3,2.4,3.81 (2.47-5.14),122,97.6,3.34 (3.01-3.67)
astrocytes 8,771.0,0.066,23.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303.0,0.075,46.0,276,25,9.06,2.30 (1.82-2.77),251,90.94,3.69 (3.47-3.92)
oligodendrocytes 10,2107.0,0.093,25.0,358,36,10.06,2.09 (1.62-2.56),322,89.94,4.12 (3.93-4.31)
connective tissue cells 21,104.0,0.339,81.0,3,1,33.33,NA,2,66.67,1.89 (-1.31-5.09)
astrocytes 15,377.0,0.153,51.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,104.0,0.196,36.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,78.0,0.306,39.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54)
astrocytes 4,1807.0,0.164,83.0,104,22,21.15,2.01 (1.49-2.53),82,78.85,3.12 (2.81-3.42)
oligodendrocytes 0,613.0,0.151,57.0,127,8,6.3,2.78 (1.96-3.61),119,93.7,3.08 (2.63-3.52)
microglia 1,1615.0,0.096,29.0,161,36,22.36,2.19 (1.68-2.71),125,77.64,3.65 (3.37-3.93)
oligodendrocytes 3,187.0,0.088,38.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,921.0,0.173,92.0,200,5,2.5,3.46 (2.35-4.58),195,97.5,3.63 (3.35-3.90)
