tipo_celular,module_size,TEAD1_MM,TEAD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.227,60.0,98,3,3.06,1.76 (0.79-2.74),95,96.94,4.71 (4.30-5.11)
oligodendrocyte progenitor cells 7,666.0,0.206,75.0,127,11,8.66,2.09 (1.52-2.66),116,91.34,4.09 (3.75-4.43)
GABA neurons expressing GLU receptors 22,599.0,0.237,65.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,380.0,0.169,47.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,408.0,0.147,43.0,25,8,32.0,1.42 (0.83-2.00),17,68.0,6.74 (5.82-7.67)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.199,89.0,297,1,0.34,2.04 (NA-NA),296,99.66,3.68 (3.48-3.88)
oligodendrocytes 20,295.0,0.179,46.0,28,6,21.43,2.37 (1.95-2.80),22,78.57,2.14 (1.55-2.72)
GABA like neurons 14,3052.0,0.165,72.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,279.0,0.371,94.0,78,11,14.1,2.43 (2.07-2.78),67,85.9,4.69 (4.26-5.11)
oligodendrocyte progenitor cells 12,3303.0,0.122,90.0,276,47,17.03,2.00 (1.78-2.21),229,82.97,3.99 (3.75-4.22)
oligodendrocytes 10,1277.0,0.157,75.0,27,1,3.7,6.33 (NA-NA),26,96.3,5.35 (4.44-6.26)
connective tissue cells 21,147.0,0.283,73.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,208.0,0.52,93.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,78.0,0.127,8.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,59.0,0.207,11.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255.0,0.111,6.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,1186.0,0.147,54.0,300,12,4.0,3.13 (2.82-3.44),288,96.0,3.83 (3.61-4.04)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.126,75.0,87,45,51.72,2.00 (1.77-2.22),42,48.28,3.34 (2.90-3.77)
oligodendrocytes 2,921.0,0.155,78.0,200,5,2.5,2.77 (2.01-3.52),195,97.5,3.65 (3.38-3.92)
