tipo_celular,module_size,ZBTB11_MM,ZBTB11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.325,97.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,477.0,0.183,64.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.265,87.0,127,3,2.36,0.90 (0.75-1.04),124,97.64,3.94 (3.61-4.27)
GABA neurons expressing GLU receptors 22,567.0,0.141,26.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,489.0,0.184,73.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,289.0,0.11,19.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.114,22.0,141,6,4.26,1.68 (0.99-2.38),135,95.74,3.02 (2.78-3.27)
oligodendrocytes 20,221.0,0.022,3.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,3052.0,0.138,49.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.038,6.0,276,33,11.96,1.83 (1.60-2.07),243,88.04,3.86 (3.63-4.09)
oligodendrocytes 10,2107.0,0.096,26.0,358,41,11.45,1.61 (1.36-1.86),317,88.55,4.27 (4.10-4.45)
connective tissue cells 21,90.0,0.341,78.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,158.0,0.327,95.0,30,0,0.0,NA,30,100.0,2.33 (1.68-2.98)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,115.0,0.331,64.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.135,89.0,238,8,3.36,2.01 (1.45-2.57),230,96.64,3.70 (3.48-3.93)
microglia 1,958.0,0.153,91.0,290,3,1.03,0.90 (0.75-1.04),287,98.97,3.85 (3.62-4.08)
oligodendrocytes 3,681.0,0.062,17.0,87,31,35.63,1.84 (1.57-2.10),56,64.37,3.06 (2.70-3.41)
oligodendrocytes 2,1630.0,0.162,87.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
