tipo_celular,module_size,EPM2A_MM,EPM2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.237,62.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.137,60.0,166,20,12.05,2.07 (1.59-2.55),146,87.95,3.62 (3.35-3.88)
oligodendrocyte progenitor cells 7,4285.0,0.128,39.0,353,34,9.63,1.90 (1.52-2.27),319,90.37,4.17 (3.99-4.35)
GABA neurons expressing GLU receptors 22,1069.0,0.144,35.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,1316.0,0.18,88.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,71.0,0.297,52.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.378,97.0,18,10,55.56,1.12 (0.57-1.68),8,44.44,2.82 (1.76-3.89)
GABA like neurons 14,3052.0,0.17,76.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,262.0,0.17,65.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.112,84.0,276,30,10.87,2.58 (1.92-3.23),246,89.13,3.69 (3.47-3.91)
oligodendrocytes 10,2107.0,0.131,44.0,358,33,9.22,1.72 (1.34-2.10),325,90.78,4.16 (3.98-4.35)
connective tissue cells 21,93.0,0.231,24.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,1401.0,0.126,80.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09)
oligodendrocytes 16,113.0,0.157,15.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.3,38.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.179,87.0,96,3,3.12,2.98 (2.30-3.67),93,96.88,3.30 (2.96-3.64)
oligodendrocytes 0,2078.0,0.1,22.0,238,6,2.52,2.63 (1.63-3.62),232,97.48,3.67 (3.44-3.89)
microglia 1,346.0,0.108,20.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,1003.0,0.083,36.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.114,9.0,84,7,8.33,1.98 (1.03-2.92),77,91.67,2.77 (2.42-3.13)
