tipo_celular,module_size,GGA3_MM,GGA3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.214,53.0,21,10,47.62,1.89 (0.79-2.99),11,52.38,2.71 (2.15-3.27)
T cells 18,518.0,0.059,1.0,131,1,0.76,NA,130,99.24,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.11,17.0,353,52,14.73,2.70 (2.24-3.16),301,85.27,4.14 (3.95-4.33)
GABA neurons expressing GLU receptors 22,714.0,0.116,12.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.195,82.0,133,18,13.53,1.79 (1.22-2.36),115,86.47,3.53 (3.20-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.017,1.0,18,10,55.56,1.29 (0.41-2.17),8,44.44,2.61 (1.74-3.48)
GABA like neurons 14,2090.0,0.106,17.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.04,7.0,276,35,12.68,2.74 (2.26-3.21),241,87.32,3.69 (3.45-3.93)
oligodendrocytes 10,2107.0,0.049,5.0,358,50,13.97,2.62 (2.12-3.12),308,86.03,4.11 (3.92-4.31)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,51.0,0.099,2.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,118.0,0.262,16.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.085,6.0,238,14,5.88,3.42 (2.67-4.18),224,94.12,3.65 (3.42-3.88)
microglia 1,958.0,0.098,29.0,290,24,8.28,3.19 (2.65-3.73),266,91.72,3.88 (3.63-4.13)
oligodendrocytes 3,681.0,0.037,2.0,87,17,19.54,1.72 (1.20-2.24),70,80.46,2.80 (2.51-3.09)
oligodendrocytes 2,1630.0,0.13,26.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51)
