tipo_celular,module_size,TMEM161B_MM,TMEM161B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.155,30.0,98,1,1.02,1.29 (NA-NA),97,98.98,3.24 (2.77-3.71)
T cells 18,624.0,0.205,85.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.127,68.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.161,87.0,353,0,0.0,NA,353,100.0,3.89 (3.70-4.08)
GABA neurons expressing GLU receptors 22,703.0,0.133,21.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316.0,0.147,70.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,137.0,0.306,59.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.116,41.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,271.0,0.308,88.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.155,63.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.088,37.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.079,51.0,276,1,0.36,0.87 (NA-NA),275,99.64,3.55 (3.34-3.77)
oligodendrocytes 10,2107.0,0.066,12.0,358,2,0.56,0.83 (0.75-0.91),356,99.44,3.88 (3.69-4.07)
connective tissue cells 21,145.0,0.296,52.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.088,53.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,69.0,0.238,62.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,61.0,0.335,67.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.162,81.0,104,0,0.0,NA,104,100.0,2.86 (2.58-3.14)
oligodendrocytes 0,2078.0,0.132,85.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,813.0,0.106,36.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,1003.0,0.092,46.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.112,7.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
