tipo_celular,module_size,ATP11C_MM,ATP11C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.102,12.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,610.0,0.225,90.0,98,11,11.22,1.17 (0.45-1.89),87,88.78,3.40 (3.10-3.70)
astrocytes 5,1656.0,0.125,65.0,136,1,0.74,3.74 (NA-NA),135,99.26,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,19,5.38,1.52 (1.02-2.03),334,94.62,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,795.0,0.108,36.0,80,3,3.75,3.18 (1.91-4.46),77,96.25,5.82 (5.42-6.22)
da like neurons 11,209.0,0.128,27.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.135,56.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,298.0,0.129,46.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.229,98.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.051,11.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.068,36.0,276,9,3.26,2.12 (1.40-2.84),267,96.74,3.60 (3.38-3.83)
oligodendrocytes 10,2107.0,0.207,71.0,358,16,4.47,1.36 (0.74-1.98),342,95.53,4.02 (3.84-4.21)
connective tissue cells 21,111.0,0.201,7.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1768.0,0.096,59.0,105,10,9.52,1.82 (1.10-2.53),95,90.48,3.37 (3.02-3.72)
oligodendrocytes 16,116.0,0.205,49.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.281,33.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.162,82.0,104,9,8.65,1.94 (1.00-2.89),95,91.35,2.96 (2.67-3.25)
oligodendrocytes 0,2078.0,0.144,96.0,238,2,0.84,1.10 (-0.65-2.86),236,99.16,3.66 (3.44-3.88)
microglia 1,813.0,0.16,83.0,79,6,7.59,2.83 (2.25-3.41),73,92.41,3.13 (2.69-3.56)
oligodendrocytes 3,681.0,0.138,82.0,87,5,5.75,0.87 (0.33-1.41),82,94.25,2.70 (2.43-2.97)
oligodendrocytes 2,921.0,0.141,56.0,200,4,2.0,2.51 (1.47-3.55),196,98.0,3.65 (3.38-3.92)
