tipo_celular,module_size,PPTC7_MM,PPTC7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.154,46.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46)
T cells 18,624.0,0.135,35.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.156,97.0,136,2,1.47,1.64 (1.01-2.27),134,98.53,3.23 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.14,58.0,353,25,7.08,1.58 (1.19-1.98),328,92.92,4.12 (3.95-4.30)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.123,26.0,410,6,1.46,2.45 (1.48-3.42),404,98.54,4.28 (4.10-4.47)
GABA neurons expressing GABA receptors 13,77.0,0.255,97.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,385.0,0.084,27.0,275,18,6.55,1.25 (0.90-1.61),257,93.45,4.23 (3.98-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.121,15.0,455,17,3.74,1.26 (0.85-1.68),438,96.26,4.51 (4.33-4.69)
astrocytes 8,260.0,0.094,31.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.052,17.0,276,23,8.33,2.24 (1.64-2.83),253,91.67,3.69 (3.47-3.92)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.11,71.0,105,15,14.29,1.75 (1.29-2.20),90,85.71,3.48 (3.12-3.84)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.159,70.0,124,4,3.23,2.59 (1.14-4.04),120,96.77,4.26 (3.86-4.66)
astrocytes microglia 23,95.0,0.291,31.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,1807.0,0.162,82.0,104,16,15.38,1.75 (1.27-2.24),88,84.62,3.08 (2.78-3.38)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.135,80.0,290,6,2.07,1.94 (0.92-2.95),284,97.93,3.86 (3.63-4.09)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
