tipo_celular,module_size,PDGFRB_MM,PDGFRB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.126,17.0,98,14,14.29,4.73 (3.63-5.84),84,85.71,4.57 (4.13-5.01)
oligodendrocyte progenitor cells 7,200.0,0.129,26.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.765,100.0,62,8,12.9,4.48 (3.05-5.91),54,87.1,3.99 (3.52-4.46)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,727.0,0.13,64.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81)
oligodendrocyte progenitor cells 12,3303.0,0.059,26.0,276,52,18.84,2.66 (2.30-3.01),224,81.16,3.83 (3.58-4.08)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.174,2.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,443.0,0.222,88.0,9,3,33.33,2.04 (-0.10-4.18),6,66.67,3.68 (2.17-5.18)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.294,52.0,46,2,4.35,5.05 (4.68-5.42),44,95.65,5.03 (4.44-5.62)
astrocytes 4,251.0,0.133,24.0,34,7,20.59,4.13 (3.01-5.26),27,79.41,5.60 (4.94-6.26)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
