tipo_celular,module_size,PRKAR1B_MM,PRKAR1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,228.0,0.083,3.0,266,14,5.26,2.49 (1.49-3.48),252,94.74,4.22 (4.02-4.43)
oligodendrocyte progenitor cells 7,4285.0,0.124,32.0,353,29,8.22,2.19 (1.63-2.75),324,91.78,4.08 (3.90-4.27)
GABA neurons expressing GLU receptors 22,400.0,0.278,87.0,24,7,29.17,1.20 (0.33-2.07),17,70.83,2.55 (2.02-3.08)
GLU like neurons 17,1247.0,0.226,90.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,109.0,0.126,19.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,265.0,0.159,50.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.091,8.0,306,15,4.9,2.83 (1.96-3.70),291,95.1,5.26 (5.00-5.52)
astrocytes 8,520.0,0.201,71.0,288,12,4.17,2.72 (1.85-3.60),276,95.83,4.24 (4.04-4.44)
oligodendrocyte progenitor cells 12,708.0,0.259,82.0,32,7,21.88,1.66 (0.51-2.81),25,78.12,3.68 (2.77-4.59)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,136.0,0.282,52.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1768.0,0.038,6.0,105,15,14.29,2.23 (1.39-3.08),90,85.71,3.39 (3.04-3.74)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.167,52.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,78.0,0.344,59.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54)
astrocytes 4,1807.0,0.102,3.0,104,13,12.5,1.68 (1.11-2.25),91,87.5,3.05 (2.75-3.34)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
