tipo_celular,module_size,KCTD13_MM,KCTD13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.155,40.0,68,4,5.88,1.11 (0.68-1.54),64,94.12,4.64 (4.11-5.17)
astrocytes 5,932.0,0.142,87.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.128,39.0,353,60,17.0,2.58 (2.21-2.95),293,83.0,4.21 (4.01-4.40)
GABA neurons expressing GLU receptors 22,848.0,0.136,17.0,262,29,11.07,3.56 (2.99-4.13),233,88.93,4.26 (3.99-4.53)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,295.0,0.054,9.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.111,26.0,125,8,6.4,3.54 (2.91-4.17),117,93.6,3.34 (3.01-3.68)
astrocytes 8,1266.0,0.088,57.0,66,22,33.33,2.03 (1.50-2.55),44,66.67,3.98 (3.53-4.43)
oligodendrocyte progenitor cells 12,411.0,0.031,6.0,103,5,4.85,4.88 (4.62-5.14),98,95.15,5.59 (5.18-6.00)
oligodendrocytes 10,1277.0,0.032,4.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.308,62.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.077,41.0,105,35,33.33,2.62 (2.21-3.03),70,66.67,3.53 (3.08-3.98)
oligodendrocytes 16,65.0,0.251,74.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.297,38.0,1,1,100.0,4.05 (NA-NA),0,0.0,NA
astrocytes 4,721.0,0.177,90.0,61,10,16.39,3.53 (2.88-4.18),51,83.61,2.85 (2.37-3.32)
oligodendrocytes 0,2078.0,0.135,88.0,238,19,7.98,3.43 (2.81-4.06),219,92.02,3.65 (3.42-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.066,20.0,76,4,5.26,2.75 (0.93-4.56),72,94.74,2.78 (2.45-3.12)
oligodendrocytes 2,1630.0,0.153,73.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
