tipo_celular,module_size,RPL29_MM,RPL29_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.526,93.0,98,22,22.45,2.44 (1.90-2.99),76,77.55,3.53 (2.93-4.14)
T cells 18,506,0.47,93.0,225,21,9.33,2.43 (1.87-2.99),204,90.67,3.77 (3.50-4.03)
astrocytes 5,328,0.28,86.0,128,9,7.03,3.57 (3.00-4.15),119,92.97,3.57 (3.20-3.94)
oligodendrocyte progenitor cells 7,448,0.367,95.0,108,9,8.33,3.57 (3.00-4.15),99,91.67,3.22 (2.74-3.70)
GABA neurons expressing GLU receptors 22,487,0.424,95.0,73,15,20.55,2.65 (2.00-3.30),58,79.45,2.78 (2.32-3.24)
GLU like neurons 17,685,0.206,78.0,135,25,18.52,2.21 (1.71-2.72),110,81.48,3.44 (3.09-3.78)
da like neurons 11,1220,0.249,71.0,410,15,3.66,2.89 (2.19-3.58),395,96.34,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,417,0.175,59.0,213,23,10.8,2.05 (1.44-2.66),190,89.2,4.02 (3.78-4.26)
endothelial cells 9,916,0.555,96.0,302,10,3.31,2.98 (2.01-3.95),292,96.69,4.02 (3.79-4.25)
oligodendrocytes 20,938,0.229,87.0,169,14,8.28,2.69 (1.92-3.47),155,91.72,3.56 (3.34-3.79)
GABA like neurons 14,2402,0.566,93.0,455,25,5.49,1.99 (1.44-2.55),430,94.51,4.53 (4.35-4.71)
astrocytes 8,603,0.232,93.0,89,18,20.22,2.40 (1.77-3.02),71,79.78,2.89 (2.47-3.31)
oligodendrocyte progenitor cells 12,1049,0.416,96.0,235,12,5.11,3.23 (2.63-3.82),223,94.89,3.86 (3.62-4.10)
oligodendrocytes 10,483,0.366,87.0,129,11,8.53,3.53 (3.02-4.04),118,91.47,3.42 (2.99-3.85)
connective tissue cells 21,301,0.509,80.0,158,19,12.03,2.82 (2.09-3.55),139,87.97,4.49 (4.10-4.88)
astrocytes 15,338,0.081,9.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,158,0.244,77.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,729,0.216,79.0,182,15,8.24,2.65 (2.00-3.30),167,91.76,3.74 (3.47-4.00)
astrocytes microglia 23,137,0.418,69.0,188,25,13.3,2.27 (1.75-2.79),163,86.7,4.77 (4.42-5.12)
astrocytes 4,208,0.18,40.0,173,10,5.78,3.57 (3.00-4.15),163,94.22,3.81 (3.49-4.13)
oligodendrocytes 0,546,0.307,90.0,252,29,11.51,2.10 (1.60-2.61),223,88.49,4.42 (4.18-4.67)
microglia 1,406,0.555,95.0,278,8,2.88,3.69 (3.08-4.30),270,97.12,4.39 (4.11-4.67)
oligodendrocytes 3,303,0.225,81.0,154,9,5.84,3.57 (3.00-4.15),145,94.16,3.62 (3.29-3.96)
oligodendrocytes 2,526,0.343,74.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28)
