tipo_celular,module_size,DGKZ_MM,DGKZ_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.117,16.0,98,3,3.06,1.02 (0.56-1.49),95,96.94,3.31 (2.84-3.79)
T cells 18,727.0,0.104,20.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,222.0,0.062,1.0,98,4,4.08,2.84 (1.30-4.38),94,95.92,4.69 (4.28-5.10)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,400.0,0.185,43.0,24,7,29.17,0.94 (0.08-1.80),17,70.83,2.66 (2.20-3.11)
GLU like neurons 17,489.0,0.112,32.0,42,7,16.67,4.48 (3.85-5.12),35,83.33,6.45 (5.87-7.04)
da like neurons 11,853.0,0.196,82.0,133,23,17.29,2.07 (1.50-2.64),110,82.71,3.54 (3.20-3.88)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.077,7.0,120,28,23.33,3.47 (3.09-3.84),92,76.67,4.98 (4.62-5.35)
oligodendrocytes 20,253.0,0.226,75.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.214,85.0,74,4,5.41,2.87 (2.19-3.55),70,94.59,2.94 (2.56-3.33)
astrocytes 8,1266.0,0.046,11.0,66,20,30.3,2.15 (1.55-2.76),46,69.7,3.81 (3.34-4.27)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.099,51.0,277,2,0.72,3.77 (3.67-3.86),275,99.28,3.89 (3.65-4.14)
connective tissue cells 21,110.0,0.411,95.0,13,1,7.69,0.94 (NA-NA),12,92.31,3.30 (2.48-4.11)
astrocytes 15,1768.0,0.06,23.0,105,18,17.14,1.77 (1.35-2.20),87,82.86,3.50 (3.14-3.86)
oligodendrocytes 16,155.0,0.341,95.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,553.0,0.081,14.0,124,6,4.84,3.17 (1.90-4.44),118,95.16,4.26 (3.85-4.66)
astrocytes microglia 23,126.0,0.272,20.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,201.0,0.186,63.0,18,7,38.89,3.10 (2.68-3.52),11,61.11,5.66 (4.59-6.72)
oligodendrocytes 0,2078.0,0.084,6.0,238,7,2.94,2.27 (1.45-3.09),231,97.06,3.69 (3.46-3.91)
microglia 1,958.0,0.095,25.0,290,11,3.79,2.37 (1.66-3.09),279,96.21,3.89 (3.65-4.12)
oligodendrocytes 3,639.0,0.064,20.0,15,10,66.67,2.99 (1.47-4.52),5,33.33,4.38 (1.08-7.68)
oligodendrocytes 2,1630.0,0.131,29.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
