tipo_celular,module_size,COBL_MM,COBL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,165.0,0.176,44.0,51,2,3.92,6.69 (3.58-9.81),49,96.08,5.27 (4.59-5.96)
oligodendrocyte progenitor cells 7,436.0,0.163,69.0,219,46,21.0,5.58 (4.88-6.28),173,79.0,5.11 (4.80-5.43)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.338,87.0,91,24,26.37,2.96 (2.13-3.79),67,73.63,5.26 (4.70-5.81)
da like neurons 11,408.0,0.322,76.0,25,10,40.0,2.64 (0.74-4.55),15,60.0,6.23 (5.06-7.40)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.345,61.0,110,52,47.27,4.89 (4.21-5.57),58,52.73,5.10 (4.51-5.69)
GABA like neurons 14,3052.0,0.066,4.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.503,93.0,48,14,29.17,6.36 (5.17-7.55),34,70.83,3.57 (2.81-4.33)
oligodendrocyte progenitor cells 12,411.0,0.164,54.0,103,21,20.39,6.13 (5.10-7.17),82,79.61,5.40 (5.00-5.80)
oligodendrocytes 10,204.0,0.488,71.0,92,4,4.35,2.53 (2.34-2.73),88,95.65,5.82 (5.36-6.28)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.324,94.0,36,9,25.0,8.14 (7.87-8.41),27,75.0,2.61 (1.87-3.36)
oligodendrocytes 16,287.0,0.255,37.0,105,61,58.1,4.71 (4.05-5.37),44,41.9,5.66 (5.24-6.07)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.443,68.0,29,2,6.9,4.12 (4.12-4.12),27,93.1,7.04 (6.48-7.59)
astrocytes 4,102.0,0.177,41.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,479.0,0.18,70.0,40,17,42.5,6.47 (5.53-7.42),23,57.5,5.39 (4.92-5.85)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,99.0,0.205,36.0,24,14,58.33,7.56 (6.89-8.23),10,41.67,5.30 (4.79-5.81)
oligodendrocytes 2,348.0,0.333,87.0,114,51,44.74,5.42 (4.81-6.03),63,55.26,4.83 (4.28-5.37)
