tipo_celular,module_size,SPG21_MM,SPG21_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.085,9.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,823.0,0.159,37.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,300.0,0.204,65.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.047,16.0,18,5,27.78,0.56 (0.36-0.76),13,72.22,2.38 (1.61-3.16)
GABA like neurons 14,3052.0,0.128,40.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,520.0,0.02,1.0,288,8,2.78,3.56 (2.35-4.78),280,97.22,4.19 (3.99-4.40)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,483.0,0.031,3.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,106.0,0.273,37.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,418.0,0.078,43.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,88.0,0.12,5.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,127.0,0.327,62.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.141,42.0,104,4,3.85,0.81 (0.05-1.57),100,96.15,2.95 (2.67-3.23)
oligodendrocytes 0,2078.0,0.099,20.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.037,1.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,1630.0,0.164,89.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
