tipo_celular,module_size,RCOR1_MM,RCOR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.173,41.0,102,25,24.51,2.25 (1.83-2.67),77,75.49,3.93 (3.51-4.36)
T cells 18,477.0,0.195,71.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.101,14.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666.0,0.281,90.0,127,3,2.36,0.90 (0.75-1.04),124,97.64,3.94 (3.61-4.27)
GABA neurons expressing GLU receptors 22,823.0,0.154,33.0,23,2,8.7,2.39 (-0.32-5.11),21,91.3,2.40 (1.62-3.18)
GLU like neurons 17,489.0,0.063,4.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,87.0,0.105,9.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.142,62.0,297,4,1.35,4.85 (4.24-5.46),293,98.65,3.66 (3.45-3.86)
oligodendrocytes 20,271.0,0.482,97.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.138,49.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,1266.0,0.052,17.0,66,17,25.76,2.17 (1.44-2.90),49,74.24,3.67 (3.23-4.12)
oligodendrocyte progenitor cells 12,3303.0,0.133,95.0,276,39,14.13,2.06 (1.76-2.37),237,85.87,3.88 (3.65-4.11)
oligodendrocytes 10,2107.0,0.311,90.0,358,61,17.04,2.28 (1.95-2.61),297,82.96,4.32 (4.14-4.51)
connective tissue cells 21,93.0,0.333,78.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,1768.0,0.13,84.0,105,20,19.05,1.92 (1.37-2.46),85,80.95,3.55 (3.19-3.91)
oligodendrocytes 16,91.0,0.218,65.0,5,1,20.0,NA,4,80.0,1.75 (0.02-3.49)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,28.0,0.309,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.15,47.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.078,4.0,238,12,5.04,2.63 (1.93-3.32),226,94.96,3.70 (3.47-3.93)
microglia 1,480.0,0.211,60.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,854.0,0.056,10.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.137,41.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
