tipo_celular,module_size,TAZ_MM,TAZ_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.12,25.0,97,2,2.06,2.69 (2.37-3.02),95,97.94,3.06 (2.66-3.47)
T cells 18,518.0,0.111,20.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,932.0,0.082,11.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.082,3.0,353,34,9.63,2.71 (2.01-3.42),319,90.37,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,203.0,0.438,96.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1316.0,0.061,5.0,101,5,4.95,3.89 (2.20-5.58),96,95.05,3.00 (2.64-3.35)
da like neurons 11,853.0,0.178,76.0,133,9,6.77,0.82 (0.41-1.23),124,93.23,3.47 (3.16-3.77)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,271.0,0.042,5.0,8,2,25.0,5.98 (5.98-5.98),6,75.0,2.50 (1.33-3.67)
GABA like neurons 14,2090.0,0.222,87.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,603.0,0.058,33.0,89,6,6.74,1.89 (1.05-2.74),83,93.26,2.85 (2.48-3.22)
oligodendrocyte progenitor cells 12,3303.0,0.105,79.0,276,20,7.25,3.29 (2.49-4.10),256,92.75,3.57 (3.34-3.79)
oligodendrocytes 10,2107.0,0.081,17.0,358,24,6.7,2.28 (1.44-3.13),334,93.3,4.02 (3.83-4.20)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.09,54.0,96,3,3.12,3.11 (1.96-4.26),93,96.88,3.63 (3.17-4.10)
oligodendrocytes 16,113.0,0.146,25.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,76.0,0.366,80.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.164,75.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,2078.0,0.119,60.0,238,8,3.36,3.84 (2.14-5.54),230,96.64,3.63 (3.41-3.85)
microglia 1,1615.0,0.071,4.0,161,21,13.04,2.12 (1.22-3.03),140,86.96,3.49 (3.24-3.74)
oligodendrocytes 3,639.0,0.086,42.0,15,11,73.33,2.92 (1.54-4.31),4,26.67,5.46 (1.07-9.84)
oligodendrocytes 2,1630.0,0.131,28.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
