tipo_celular,module_size,WLS_MM,WLS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.37,96.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,118.0,0.192,25.0,8,2,25.0,5.21 (5.21-5.21),6,75.0,3.83 (1.50-6.17)
oligodendrocyte progenitor cells 7,200.0,0.133,31.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,848.0,0.2,45.0,262,35,13.36,3.81 (3.31-4.31),227,86.64,4.23 (3.95-4.51)
GLU like neurons 17,685.0,0.144,58.0,135,28,20.74,3.01 (2.39-3.63),107,79.26,3.23 (2.88-3.58)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.111,22.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,279.0,0.365,93.0,78,21,26.92,3.31 (2.60-4.02),57,73.08,4.74 (4.28-5.20)
oligodendrocyte progenitor cells 12,1049.0,0.126,66.0,235,16,6.81,3.51 (3.07-3.95),219,93.19,3.85 (3.60-4.09)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,136.0,0.172,3.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,208.0,0.408,77.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.27,42.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,220.0,0.112,17.0,63,6,9.52,2.62 (2.06-3.19),57,90.48,5.49 (4.93-6.04)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.108,48.0,161,14,8.7,1.56 (0.84-2.27),147,91.3,3.48 (3.21-3.74)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
