tipo_celular,module_size,ADORA1_MM,ADORA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.114,57.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06)
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,5,1.42,1.52 (0.54-2.50),348,98.58,3.93 (3.75-4.12)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.068,7.0,91,6,6.59,2.42 (1.43-3.41),85,93.41,4.74 (4.20-5.28)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.172,59.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.072,39.0,66,6,9.09,2.81 (1.18-4.44),60,90.91,3.27 (2.84-3.71)
oligodendrocyte progenitor cells 12,708.0,0.065,26.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05)
oligodendrocytes 10,1277.0,0.115,54.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.066,29.0,105,3,2.86,0.90 (-0.14-1.94),102,97.14,3.29 (2.95-3.62)
oligodendrocytes 16,112.0,0.098,3.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,49.0,0.332,40.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA)
astrocytes 4,721.0,0.144,37.0,61,1,1.64,5.10 (NA-NA),60,98.36,2.93 (2.52-3.34)
oligodendrocytes 0,309.0,0.154,71.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.115,57.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,131.0,0.182,48.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52)
