tipo_celular,module_size,PCNX4_MM,PCNX4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.154,48.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,727.0,0.137,44.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,423.0,0.192,74.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,4285.0,0.175,96.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,599.0,0.328,91.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1316.0,0.116,44.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,77.0,0.104,14.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.136,57.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,271.0,0.207,64.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.156,64.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.117,68.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303.0,0.131,94.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,2107.0,0.246,81.0,358,2,0.56,1.25 (-0.12-2.62),356,99.44,3.88 (3.69-4.07)
connective tissue cells 21,91.0,0.223,16.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,338.0,0.185,73.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,74.0,0.258,83.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.394,75.0,120,1,0.83,1.95 (NA-NA),119,99.17,3.63 (3.33-3.94)
astrocytes 4,514.0,0.263,78.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,2078.0,0.13,81.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,958.0,0.11,48.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,854.0,0.091,51.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,921.0,0.123,26.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
