tipo_celular,module_size,NDUFB5_MM,NDUFB5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.14,32.0,164,31,18.9,4.01 (3.50-4.51),133,81.1,4.11 (3.71-4.50)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.166,45.0,410,78,19.02,3.80 (3.54-4.07),332,80.98,4.39 (4.16-4.62)
GABA neurons expressing GABA receptors 13,266.0,0.1,14.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,916.0,0.108,17.0,302,67,22.19,3.89 (3.57-4.21),235,77.81,4.02 (3.73-4.31)
oligodendrocytes 20,938.0,0.113,43.0,169,55,32.54,3.57 (3.27-3.87),114,67.46,3.43 (3.13-3.73)
GABA like neurons 14,2402.0,0.372,76.0,455,86,18.9,3.43 (3.10-3.76),369,81.1,4.64 (4.43-4.85)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.057,22.0,235,52,22.13,4.00 (3.71-4.29),183,77.87,3.76 (3.47-4.06)
oligodendrocytes 10,806.0,0.184,59.0,261,41,15.71,3.74 (3.34-4.14),220,84.29,4.52 (4.24-4.80)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,155.0,0.298,87.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,729.0,0.127,36.0,182,24,13.19,4.24 (3.54-4.95),158,86.81,3.53 (3.27-3.80)
astrocytes microglia 23,51.0,0.202,4.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.081,4.0,252,73,28.97,3.28 (2.93-3.64),179,71.03,4.55 (4.25-4.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.076,25.0,345,9,2.61,2.69 (2.12-3.27),336,97.39,4.33 (4.12-4.54)
oligodendrocytes 2,526.0,0.17,20.0,213,60,28.17,4.10 (3.84-4.37),153,71.83,3.92 (3.53-4.31)
