tipo_celular,module_size,DEGS1_MM,DEGS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.219,56.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.19,64.0,164,16,9.76,3.70 (3.19-4.21),148,90.24,4.13 (3.77-4.49)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.166,45.0,410,22,5.37,3.19 (2.75-3.63),388,94.63,4.32 (4.13-4.52)
GABA neurons expressing GABA receptors 13,357.0,0.059,1.0,237,6,2.53,4.06 (3.34-4.78),231,97.47,4.42 (4.18-4.66)
endothelial cells 9,916.0,0.084,10.0,302,16,5.3,2.73 (2.03-3.43),286,94.7,4.06 (3.83-4.29)
oligodendrocytes 20,358.0,0.118,33.0,31,5,16.13,3.66 (3.44-3.89),26,83.87,2.10 (1.65-2.55)
GABA like neurons 14,2402.0,0.356,74.0,455,30,6.59,2.34 (1.79-2.89),425,93.41,4.52 (4.34-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.102,56.0,235,14,5.96,3.49 (3.00-3.98),221,94.04,3.84 (3.60-4.09)
oligodendrocytes 10,735.0,0.066,25.0,277,2,0.72,3.95 (2.92-4.98),275,99.28,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,69.0,0.111,8.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.099,37.0,122,26,21.31,2.57 (1.97-3.17),96,78.69,4.48 (4.05-4.91)
astrocytes microglia 23,121.0,0.311,45.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.14,47.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,406.0,0.105,19.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,743.0,0.107,77.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54)
oligodendrocytes 2,528.0,0.256,75.0,175,18,10.29,3.41 (3.01-3.82),157,89.71,4.50 (4.12-4.89)
