tipo_celular,module_size,LRP12_MM,LRP12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.121,60.0,136,1,0.74,2.91 (NA-NA),135,99.26,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.168,92.0,353,7,1.98,1.58 (0.90-2.27),346,98.02,3.95 (3.76-4.14)
GABA neurons expressing GLU receptors 22,714.0,0.126,17.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,795.0,0.085,20.0,80,3,3.75,3.14 (1.94-4.35),77,96.25,5.82 (5.42-6.22)
da like neurons 11,197.0,0.188,45.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.083,16.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.085,5.0,455,2,0.44,1.73 (-0.59-4.05),453,99.56,4.36 (4.17-4.54)
astrocytes 8,727.0,0.088,37.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.095,70.0,276,8,2.9,1.68 (1.14-2.23),268,97.1,3.61 (3.40-3.83)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.125,81.0,105,5,4.76,1.23 (0.54-1.93),100,95.24,3.32 (2.98-3.66)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,67.0,0.33,58.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.108,5.0,104,4,3.85,1.40 (0.17-2.64),100,96.15,2.93 (2.64-3.21)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
