tipo_celular,module_size,TCF7L2_MM,TCF7L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.214,69.0,73,8,10.96,4.11 (3.75-4.47),65,89.04,3.48 (3.09-3.87)
T cells 18,349.0,0.128,27.0,68,10,14.71,1.87 (1.07-2.66),58,85.29,4.82 (4.28-5.37)
astrocytes 5,222.0,0.185,41.0,98,6,6.12,2.81 (1.70-3.91),92,93.88,4.74 (4.32-5.15)
oligodendrocyte progenitor cells 7,436.0,0.104,32.0,219,11,5.02,3.44 (2.94-3.94),208,94.98,5.34 (5.05-5.64)
GABA neurons expressing GLU receptors 22,599.0,0.375,96.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685.0,0.237,83.0,135,56,41.48,2.87 (2.46-3.28),79,58.52,3.46 (3.02-3.89)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.254,78.0,141,21,14.89,3.47 (2.63-4.30),120,85.11,2.87 (2.63-3.11)
oligodendrocytes 20,330.0,0.254,78.0,36,17,47.22,2.05 (1.77-2.33),19,52.78,1.79 (1.15-2.43)
GABA like neurons 14,2090.0,0.124,28.0,74,16,21.62,2.32 (2.04-2.60),58,78.38,3.13 (2.66-3.60)
astrocytes 8,279.0,0.309,68.0,78,26,33.33,3.51 (2.91-4.11),52,66.67,4.79 (4.29-5.30)
oligodendrocyte progenitor cells 12,708.0,0.405,92.0,32,15,46.88,2.00 (1.28-2.73),17,53.12,4.49 (3.36-5.62)
oligodendrocytes 10,1277.0,0.134,67.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.239,37.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,418.0,0.324,73.0,54,3,5.56,3.53 (3.35-3.70),51,94.44,3.69 (3.23-4.16)
oligodendrocytes 16,121.0,0.26,82.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,92.0,0.094,0.0,11,1,9.09,4.75 (NA-NA),10,90.91,4.31 (3.69-4.92)
astrocytes 4,514.0,0.089,2.0,95,10,10.53,2.78 (0.88-4.69),85,89.47,3.43 (3.01-3.85)
oligodendrocytes 0,1186.0,0.159,74.0,300,26,8.67,3.54 (3.22-3.85),274,91.33,3.82 (3.60-4.05)
microglia 1,958.0,0.111,50.0,290,40,13.79,3.40 (2.83-3.97),250,86.21,3.89 (3.64-4.14)
oligodendrocytes 3,681.0,0.115,67.0,87,61,70.11,2.36 (2.08-2.63),26,29.89,3.14 (2.53-3.75)
oligodendrocytes 2,921.0,0.148,70.0,200,9,4.5,3.02 (2.23-3.82),191,95.5,3.65 (3.38-3.93)
