tipo_celular,module_size,HLF_MM,HLF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.09,14.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.126,36.0,353,50,14.16,1.87 (1.61-2.12),303,85.84,4.35 (4.17-4.52)
GABA neurons expressing GLU receptors 22,848.0,0.263,68.0,262,4,1.53,0.70 (0.28-1.13),258,98.47,4.23 (3.99-4.47)
GLU like neurons 17,380.0,0.386,100.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.235,62.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.134,45.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,1266.0,0.051,16.0,66,16,24.24,1.68 (1.13-2.23),50,75.76,3.83 (3.41-4.25)
oligodendrocyte progenitor cells 12,411.0,0.057,30.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,183.0,0.257,46.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,1768.0,0.096,59.0,105,17,16.19,1.36 (1.06-1.65),88,83.81,3.61 (3.26-3.95)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,95.0,0.435,93.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,1807.0,0.138,38.0,104,25,24.04,1.58 (1.27-1.89),79,75.96,3.31 (3.01-3.61)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
